CÓDIGO DANE,DEPARTAMENTO,MUNICIPIO,CENTRO POBLADO,NATURALEZA DE LA BIBLIOTECA,TIPO DE BIBLIOTECA,NOMBRE DE LA BIBLIOTECA,DIRECCIÓN DE LA BIBLIOTECA,BARRIO,TELÉFONOS DE CONTACTO,EXTENSIÓN,FAX,PÁGINA WEB DE LABIBLIOTECA,ESTADO DE LA BIBLIOTECA,GEOREFERENCIA
76111000,VALLE DEL CAUCA,GUADALAJARA DE BUGA,GUADALAJARA DE BUGA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL CIUDADELA ACADEMICO ,"CRA 9 N° 2 - 55 SUR - COLEGIO ACADEMICO CIUDAD EDUCATIVA
",EL ALBERGUE,2366919/3162440551/,,,http://www.guadalajaradebuga-valle.gov.co/index.sh,ABIERTA,"(3.8951252°,-76.2983686°)"
47570004,MAGDALENA,PUEBLOVIEJO,TASAJERA,ESTATAL,RURAL,BIBLIOTECA PÚBLICA DEL CORREGIMIENTO DE TASAJERA,CALLE 3 CARRERA 4,CENTRO,3002350285/3014504359/,,,www.puebloviejo-magdalena.gov.co,ABIERTA,"(10.9780580°,-74.3258570°)"
41676000,HUILA,SANTA MARIA,SANTA MARÍA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE SANTA MARIA,CARRERA 5 N° 10 -41,CENTRO,8787043/3208839818/8787043,,,,ABIERTA,"(2.9368619°,-75.5866762°)"
5756000,ANTIOQUIA,SONSON,SONSON,ESTATAL,MUNICIPAL,BIBLIOTECA MUNICIPAL BENIGNO A GUTIERREZ,CALLE 7 N° 8 - 32,CENTRO,8691589/3128969606/8691589,,,,ABIERTA,"(5.7102359°,-75.3121659°)"
5282000,ANTIOQUIA,FREDONIA,FREDONIA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DARIO HENAO TORRES,CARRERA 50 -12-24,CALLE EL HOSPITAL,840 2195 8401264/3128539109/8402195,,,bibliotecapublicadariohenaotorres.blogspot.,ABIERTA,"(5.9269100°,-75.6722200°)"
13268000,BOLIVAR,EL PEÑON,EL PEÑÓN,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA JOSE PRESENTACION VENECIA,CALLE 8 BARRIO EL JARDIN (NO HAY NOMENCALTURA),CENTRO,3204151307/3204151307/,,,https://goo.gl/YKTqIQ,ABIERTA,"(8.9892600°,-73.9480300°)"
5885000,ANTIOQUIA,YALI,YALÍ,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL TOMÁS LLANO PELÁEZ,"CALLE LA Y 18 - 51  LA BIBLIOTECA SE ENCUENTRA DENTRO DE LA CASA DE LA CULTURA: TOMÁS LLANO PELÁEZ""",YALI,/3218808691/8676709,,,,ABIERTA,"(6.6772030°,-74.8412700°)"
76403000,VALLE DEL CAUCA,LA VICTORIA,LA VICTORIA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE LA VICTORIA,CARRERA 7 No. 6-45,CENTRO,2202459/3113804056/2202459,90,2202165,https://www.facebook.com/profile.php?id=1000127441,ABIERTA,"(4.5280200°,-76.0364900°)"
15224000,BOYACA,CUCAITA,CUCAITA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE  CUCAITA,CARRERA  7 N° 7-09,CENTRO,3208661360/3208661360/,,,,ABIERTA,"(5.5437000°,-73.4542500°)"
11001000,"BOGOTA, D.C.","BOGOTA, D.C.","BOGOTÁ, D.C.",ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA DEL DEPORTE,"Estadio Nemesio Camacho El Campín -  Carrera 30 Calle  57 Local 9 
",Campin,"3790150/3790150
/",6160,,www.biblored.gov.co,ABIERTA,"(4.6467023°,-74.0791588°)"
